,P001_WA1,P001_WA2,P001_WA3,P001_WA4,P001_WA5,P001_WA6,P001_WA7,P001_WA8,P001_WA9,P001_WB1,P001_WB2,P001_WB3,P001_WB4,P001_WB5,P001_WB6,P001_WB7,P001_WB8,P001_WB9,P001_WC1,P001_WC2,P001_WC3,P001_WC4,P001_WC5,P001_WC6,P001_WC7,P001_WC8,P001_WC9,P001_WD1,P001_WD2,P001_WD3,P001_WD4,P001_WD5,P001_WD6,P001_WD7,P001_WD8,P001_WD9,P001_WE1,P001_WE3,P001_WE4,P001_WE5,P001_WE6,P001_WE7,P001_WE8,P001_WE9,P001_WF1,P001_WF2,P001_WF3,P001_WF4,P001_WF5,P001_WF6,P001_WF7,P001_WF8,P001_WF9,P001_WG1,P001_WG2,P001_WG3,P001_WG4,P001_WG5,P001_WG6,P001_WG7,P001_WG8,P001_WH1,P001_WH2,P001_WH3,P001_WH4,P001_WH5,P001_WH6,P001_WH7,P001_WH8,P002_WA01,P002_WA02,P002_WA03,P002_WA04,P002_WA05,P002_WA06,P002_WA07,P002_WA08,P002_WA09,P002_WA10,P002_WA11,P002_WB01,P002_WB02,P002_WB03,P002_WB04,P002_WB05,P002_WB06,P002_WB07,P002_WB08,P002_WB09,P002_WB10,P002_WB11,P002_WC01,P002_WC02,P002_WC03,P002_WC04,P002_WC05,P002_WC06,P002_WC07,P002_WC09,P002_WC10,P002_WC11,P002_WD01,P002_WD02,P002_WD03,P002_WD04,P002_WD05,P002_WD06,P002_WD07,P002_WD08,P002_WD09,P002_WD10,P002_WE01,P002_WE02,P002_WE03,P002_WE04,P002_WE05,P002_WE06,P002_WE07,P002_WE08,P002_WE09,P002_WE10,P002_WF01,P002_WF02,P002_WF03,P002_WF04,P002_WF05,P002_WF06,P002_WF07,P002_WF08,P002_WF09,P002_WF10,P002_WG01,P002_WG02,P002_WG03,P002_WG04,P002_WG05,P002_WG06,P002_WG07,P002_WG08,P002_WG09,P002_WG10,P002_WH01,P002_WH02,P002_WH03,P002_WH04,P002_WH05,P002_WH06,P002_WH07,P002_WH08,P002_WH09,P002_WH10,P001_WE2,P002_WC08,P002_WD11
P002_WB03,0.0170184710,0.0170449371,0.0203655037,0.0315039307,0.0305588789,0.0276048523,0.0199577780,0.0228177138,0.0246802649,0.0178261746,0.0156232762,0.0193535419,0.0297522369,0.0313756050,0.0255138996,0.0167456925,0.0232685094,0.0255982052,0.0153466969,0.0154772508,0.0222210593,0.0291069652,0.0289230109,0.0270465591,0.0168951974,0.0230510706,0.0252171623,0.0355701845,0.0148446225,0.0209616660,0.0289905310,0.0307980372,0.0270264901,0.0172208171,0.0240638298,0.0551630844,0.0355475158,0.0208001766,0.0296444608,0.0274597377,0.0261714583,0.0235118434,0.0242404070,0.0543738749,0.0331372126,0.0150533364,0.0363193346,0.0306124427,0.0265698226,0.0185672449,0.0237813380,0.0232625930,0.0548177026,0.0159144138,0.0162305595,0.0370230940,0.0308225287,0.0350773499,0.0193543989,0.0234422104,0.0230027110,0.0171758746,0.0162935900,0.0367485565,0.0306184980,0.0271048106,0.0200832817,0.0223765426,0.0261432911,0.0158773938,0.0365405114,0.0155604925,0.0314686157,0.0275014110,0.0173728363,0.0166417612,0.0173773980,0.0162840935,0.0605248387,0.1473029180,0.0139983119,0.0352729212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB04,0.0197349634,0.0183860569,0.0183070845,0.0301945841,0.0299330562,0.0273113921,0.0161119999,0.0224539801,0.0261074975,0.0205766139,0.0186787899,0.0163374791,0.0294810070,0.0291336993,0.0249846085,0.0199960318,0.0230652529,0.0262630602,0.0185675162,0.0187377523,0.0185236058,0.0282820554,0.0280010195,0.0269014249,0.0190100151,0.0221218867,0.0249790009,0.0360891425,0.0184333010,0.0178602826,0.0285298688,0.0293822342,0.0261488580,0.0200737934,0.0229273271,0.0555328389,0.0346462863,0.0181040527,0.0293010379,0.0268097101,0.0254629069,0.0233611435,0.0241574162,0.0542878131,0.0330813049,0.0185524882,0.0364433796,0.0302031837,0.0248572094,0.0156088916,0.0232273739,0.0229160890,0.0555818319,0.0191574502,0.0181388433,0.0364290410,0.0305679993,0.0349939879,0.0154587838,0.0223515878,0.0222517789,0.0195674633,0.0195296044,0.0361158927,0.0302969617,0.0261980303,0.0158169306,0.0215039025,0.0252207867,0.0189780979,0.0355474765,0.0189866853,0.0315046410,0.0265245274,0.0195203097,0.0185428647,0.0185430496,0.0183860296,0.0599528731,0.1489592517,0.0174182692,0.0348524450,0.0186766744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB05,0.0214474338,0.0196467453,0.0182688545,0.0311226330,0.0305298738,0.0269454914,0.0177393013,0.0228386756,0.0255022359,0.0225823452,0.0198521475,0.0164810095,0.0293043543,0.0311204258,0.0257882411,0.0217215228,0.0232808519,0.0258720193,0.0202948902,0.0200854872,0.0174796361,0.0286181946,0.0279557372,0.0263765893,0.0203132772,0.0228210781,0.0253586543,0.0359802376,0.0201636379,0.0171628926,0.0281813098,0.0294436750,0.0274683387,0.0221542833,0.0231419830,0.0549694375,0.0360027086,0.0150583330,0.0290378501,0.0266423503,0.0266153251,0.0238854188,0.0238754838,0.0541781127,0.0340613658,0.0194144797,0.0372060388,0.0306045028,0.0259673399,0.0171457871,0.0241394791,0.0231693471,0.0550543366,0.0201212345,0.0196949295,0.0379495086,0.0305140938,0.0348039479,0.0184123450,0.0234890273,0.0227857103,0.0212104994,0.0211541528,0.0360600532,0.0310589358,0.0262382462,0.0176025205,0.0220575292,0.0263373617,0.0209614407,0.0356501798,0.0202210348,0.0313833175,0.0261145861,0.0209190387,0.0195791896,0.0206969412,0.0200259872,0.0609399502,0.1488306299,0.0202034880,0.0351579374,0.0202475887,0.0180952251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB06,0.0173520917,0.0168234012,0.0213605285,0.0320871108,0.0311034085,0.0281486339,0.0199888999,0.0223526839,0.0264173517,0.0173859355,0.0163174203,0.0191130621,0.0311934874,0.0314050956,0.0254012687,0.0175626151,0.0237935853,0.0266697888,0.0154775842,0.0171683153,0.0216457740,0.0301195631,0.0285564025,0.0269280058,0.0176586221,0.0233212016,0.0256896485,0.0372287350,0.0163233080,0.0206031676,0.0300867856,0.0314460486,0.0267596058,0.0186581800,0.0239203658,0.0555540972,0.0357064572,0.0207835581,0.0300798677,0.0270283844,0.0266993435,0.0238632357,0.0241669976,0.0545626759,0.0344365386,0.0166630487,0.0371190355,0.0314090618,0.0263975944,0.0192967022,0.0247845123,0.0233147622,0.0559240406,0.0165665760,0.0166381823,0.0374184186,0.0304974493,0.0355187429,0.0194176678,0.0237090067,0.0232353612,0.0165517689,0.0181751612,0.0369198253,0.0312136812,0.0272696337,0.0193475277,0.0226186552,0.0251292593,0.0173189966,0.0360414183,0.0163424471,0.0318466229,0.0266729752,0.0140319048,0.0149749592,0.0166453486,0.0162382874,0.0611464814,0.1487659537,0.0160407013,0.0361655707,0.0171860129,0.0188737894,0.0198143805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB07,0.0172751486,0.0165447134,0.0195820550,0.0311385716,0.0306636091,0.0270997253,0.0188326230,0.0220813178,0.0252194146,0.0176356102,0.0159829114,0.0184838192,0.0299645984,0.0302662458,0.0247294117,0.0182064202,0.0221562700,0.0249923064,0.0159231404,0.0155491904,0.0213847567,0.0291278029,0.0281742994,0.0261686940,0.0166912111,0.0223085006,0.0248168536,0.0360688700,0.0165245289,0.0198539219,0.0283448787,0.0299256036,0.0259831270,0.0177732889,0.0232978651,0.0540798152,0.0352276501,0.0211276501,0.0292475928,0.0269697936,0.0256988973,0.0233432340,0.0231292151,0.0533417907,0.0332927314,0.0156644720,0.0366872986,0.0303988494,0.0258896398,0.0187110615,0.0238032217,0.0218927650,0.0542052376,0.0156015151,0.0157882368,0.0362649553,0.0298412986,0.0348359150,0.0188694542,0.0224924995,0.0221627865,0.0164564235,0.0176816153,0.0362356102,0.0304003995,0.0264176949,0.0182520746,0.0218023100,0.0242101391,0.0170212485,0.0355771188,0.0156695060,0.0307773204,0.0257083836,0.0159963833,0.0156217590,0.0159646214,0.0158439956,0.0607615434,0.1485326325,0.0155971795,0.0351364584,0.0167220478,0.0182008329,0.0195225894,0.0151342119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB08,0.0177491449,0.0174245853,0.0203920755,0.0317739818,0.0316651264,0.0276931396,0.0195392242,0.0234588563,0.0265127721,0.0178928597,0.0163667257,0.0194195442,0.0311742938,0.0310565263,0.0250024893,0.0188097983,0.0235189114,0.0263808415,0.0162861762,0.0166852761,0.0219716135,0.0300078596,0.0289947586,0.0276019106,0.0178744249,0.0229404230,0.0259928537,0.0361760906,0.0166227666,0.0207803072,0.0299809158,0.0313925659,0.0268734320,0.0181106846,0.0240364697,0.0562288224,0.0355833724,0.0204973684,0.0299759240,0.0275915262,0.0260256150,0.0242986730,0.0245210174,0.0551762605,0.0335918634,0.0164874953,0.0374581319,0.0310872598,0.0261959511,0.0180754153,0.0236263143,0.0231292952,0.0561471990,0.0169423903,0.0172318190,0.0373083059,0.0319491074,0.0361884823,0.0187286507,0.0235681593,0.0226891017,0.0180181374,0.0175609545,0.0366503286,0.0321814699,0.0268317644,0.0193073490,0.0217256408,0.0260315958,0.0173200733,0.0361600409,0.0171079082,0.0323163549,0.0272780684,0.0163780501,0.0148724082,0.0160271978,0.0159485141,0.0613766869,0.1500093833,0.0158681130,0.0360726505,0.0166173841,0.0181549664,0.0207671781,0.0158349624,0.0152815410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB09,0.0176080116,0.0169625531,0.0194067702,0.0316043628,0.0301042561,0.0269322638,0.0188439747,0.0216069647,0.0254164497,0.0180270316,0.0166329114,0.0182058843,0.0302770272,0.0303774223,0.0246845438,0.0190663147,0.0224806316,0.0248095987,0.0162856485,0.0164720035,0.0218367923,0.0292727226,0.0281364781,0.0258861463,0.0174269553,0.0224053718,0.0246279126,0.0347119999,0.0159605050,0.0202051259,0.0288355220,0.0305485095,0.0259613563,0.0184693115,0.0225060223,0.0537262261,0.0345430668,0.0202503110,0.0293717605,0.0270072536,0.0252347407,0.0229788497,0.0232046635,0.0533120931,0.0326413282,0.0162650066,0.0361845106,0.0311162381,0.0266609651,0.0174471315,0.0234190922,0.0223552832,0.0535343128,0.0161832192,0.0167527432,0.0363002938,0.0306434041,0.0341617479,0.0181202186,0.0224861278,0.0221225562,0.0175469653,0.0169905683,0.0356871761,0.0308457254,0.0267935121,0.0184084170,0.0209742522,0.0256632185,0.0170265365,0.0351818293,0.0170154126,0.0311739268,0.0261401099,0.0164416885,0.0157817935,0.0156710580,0.0144641180,0.0597863766,0.1484132585,0.0162094040,0.0341522183,0.0166552425,0.0181727829,0.0199600672,0.0169061348,0.0147333102,0.0153331136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB10,0.0523781976,0.0513831505,0.0522147486,0.0516767104,0.0509802673,0.0511971889,0.0518272218,0.0509902818,0.0504510994,0.0530865453,0.0509955469,0.0509196355,0.0505881296,0.0520668089,0.0519291987,0.0521832243,0.0519282396,0.0511623596,0.0507330982,0.0512231683,0.0518572405,0.0497524740,0.0501999503,0.0518693529,0.0514410150,0.0520816749,0.0504471022,0.0504349857,0.0513049981,0.0517684402,0.0501761559,0.0516417409,0.0522517502,0.0523380153,0.0519377521,0.0450218722,0.0511496979,0.0512840871,0.0499630660,0.0502595296,0.0527365506,0.0519841757,0.0514530896,0.0442189149,0.0497218903,0.0510624237,0.0510769003,0.0516483752,0.0502564574,0.0522947452,0.0527926329,0.0512770825,0.0448652076,0.0517078234,0.0509195325,0.0500532649,0.0505127057,0.0513913960,0.0516791632,0.0511159445,0.0517062903,0.0516075702,0.0518951253,0.0485269246,0.0511819708,0.0505635731,0.0517173507,0.0509230362,0.0495918056,0.0510427230,0.0484107478,0.0508995177,0.0484891288,0.0523089815,0.0516101404,0.0505804842,0.0515388548,0.0508842879,0.0490711135,0.1262087464,0.0510442368,0.0491554325,0.0509804794,0.0516372008,0.0516930569,0.0517005265,0.0507735208,0.0513532806,0.0504591697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB11,0.1467233047,0.1457020731,0.1481590666,0.1469773636,0.1480532490,0.1472918371,0.1483869792,0.1470469292,0.1481919200,0.1480490933,0.1459951295,0.1432386989,0.1479016584,0.1476501940,0.1475702694,0.1482167317,0.1485143686,0.1482449708,0.1455633163,0.1449354995,0.1484051528,0.1442563603,0.1428547653,0.1486477206,0.1478542546,0.1472038096,0.1469551158,0.1406379960,0.1441961334,0.1491718377,0.1453662407,0.1479264214,0.1474206188,0.1499781457,0.1483228423,0.1395825630,0.1418747488,0.1460424001,0.1463258475,0.1438520586,0.1464494136,0.1470128636,0.1501950133,0.1373825982,0.1394490429,0.1454297177,0.1385923969,0.1471902124,0.1414706692,0.1475513464,0.1475306576,0.1447594368,0.1394153710,0.1472436712,0.1434425318,0.1376036457,0.1469880226,0.1446213360,0.1483705362,0.1491709963,0.1460244513,0.1481891351,0.1493388411,0.1390258704,0.1481682845,0.1485849203,0.1470417505,0.1473110736,0.1456445137,0.1459700967,0.1316774020,0.1447262655,0.1355445098,0.1465342758,0.1452994665,0.1455527528,0.1456407079,0.1418280526,0.1410377392,0.0261540652,0.1438083238,0.1349179267,0.1451949634,0.1462892269,0.1452849990,0.1461075973,0.1455746288,0.1486796583,0.1457263951,0.1249304958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WC01,0.0351375394,0.0339834554,0.0350423289,0.0330010060,0.0318490843,0.0341951749,0.0354894051,0.0355046510,0.0355494706,0.0355437038,0.0345373742,0.0341520008,0.0316443005,0.0312429543,0.0353781012,0.0373664138,0.0357985901,0.0348168432,0.0340546977,0.0337462090,0.0349823698,0.0311700793,0.0299287072,0.0369987930,0.0356391456,0.0352974848,0.0348570683,0.0327859685,0.0341773701,0.0359301668,0.0312252230,0.0315659919,0.0367786522,0.0349143842,0.0352120260,0.0502951544,0.0349998828,0.0335298523,0.0311453808,0.0332981614,0.0362376387,0.0368352958,0.0352537059,0.0500245257,0.0324817065,0.0342461677,0.0314840377,0.0327183983,0.0321335545,0.0350036170,0.0364815025,0.0348269723,0.0508081625,0.0345226594,0.0342995625,0.0304887460,0.0326003650,0.0337992705,0.0342169524,0.0369668031,0.0354799895,0.0347583616,0.0353418930,0.0280479539,0.0326339431,0.0333257615,0.0345367761,0.0350131749,0.0343654989,0.0340155302,0.0293482164,0.0344009292,0.0309788334,0.0360748601,0.0345727512,0.0338692028,0.0345141406,0.0330646894,0.0567295017,0.1386498111,0.0339162595,0.0286689387,0.0351568463,0.0342028944,0.0342846385,0.0344515610,0.0341916210,0.0340995562,0.0337381246,0.0490807385,0.1359672591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WC02,0.0372548685,0.0364858617,0.0372749112,0.0321266255,0.0308685717,0.0350676696,0.0371864959,0.0357596010,0.0360236801,0.0383475049,0.0354684527,0.0348687202,0.0310769314,0.0308790078,0.0365408634,0.0380184262,0.0371426253,0.0353753236,0.0352641966,0.0362604684,0.0367568880,0.0304947380,0.0290356928,0.0373438242,0.0365836069,0.0365789632,0.0352213678,0.0348547592,0.0353716596,0.0367095815,0.0313872150,0.0321729975,0.0373305760,0.0375642503,0.0354047560,0.0499615876,0.0357359630,0.0358735374,0.0304140907,0.0337806980,0.0375112898,0.0367097795,0.0369842603,0.0489964061,0.0337103721,0.0354713316,0.0288590403,0.0315000754,0.0325337707,0.0365772716,0.0372681754,0.0355796347,0.0495579335,0.0364594034,0.0350137581,0.0287806119,0.0314831335,0.0367994181,0.0356196851,0.0367793819,0.0371396900,0.0367804419,0.0374580801,0.0280312091,0.0319590050,0.0347601265,0.0357808102,0.0356796576,0.0354736668,0.0357493158,0.0278610958,0.0354696082,0.0315516732,0.0375151770,0.0354363394,0.0342801988,0.0362685984,0.0343743547,0.0565460474,0.1378347155,0.0350877259,0.0262819422,0.0362224708,0.0355987169,0.0358010518,0.0361360214,0.0361089929,0.0370227693,0.0352096633,0.0485628611,0.1352159523,0.0298351911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WC03,0.0175680149,0.0179481963,0.0203309199,0.0323612338,0.0314934139,0.0286402524,0.0190134490,0.0236239902,0.0278574963,0.0185487662,0.0176294068,0.0193290764,0.0309989890,0.0315137410,0.0259596382,0.0191764873,0.0233831031,0.0268779839,0.0175617973,0.0173544696,0.0214459613,0.0299030550,0.0292883625,0.0271513793,0.0185919894,0.0230362677,0.0265298272,0.0356788803,0.0173960053,0.0202132786,0.0301701305,0.0318189890,0.0270040071,0.0185253098,0.0242365106,0.0555286591,0.0352874362,0.0211845371,0.0300506853,0.0278209962,0.0261269594,0.0247573732,0.0245692508,0.0547600416,0.0333136746,0.0171807751,0.0367204689,0.0317669702,0.0265371173,0.0186687368,0.0250986849,0.0232192011,0.0551188800,0.0167512265,0.0166573534,0.0376002067,0.0321239825,0.0357911258,0.0190952414,0.0239334281,0.0227703762,0.0180517894,0.0180428331,0.0365217581,0.0317556124,0.0278672066,0.0197989480,0.0223297002,0.0261551314,0.0170594701,0.0359887493,0.0179206543,0.0322416295,0.0269329415,0.0173919352,0.0168294604,0.0143968658,0.0161033917,0.0622164850,0.1503151858,0.0158763358,0.0359057897,0.0172410516,0.0183239775,0.0208330183,0.0164579790,0.0154989104,0.0144505038,0.0157128109,0.0516721501,0.1477372910,0.0346601985,0.0371575983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WC04,0.0194058840,0.0190080857,0.0169554759,0.0308876499,0.0305706920,0.0269088747,0.0159410796,0.0229969131,0.0263298518,0.0196856871,0.0188071076,0.0158112179,0.0300758492,0.0307257522,0.0246432610,0.0201955348,0.0229925267,0.0256002363,0.0186683914,0.0184045017,0.0176337232,0.0292812425,0.0286378527,0.0258460865,0.0193300777,0.0216561746,0.0249072236,0.0350459952,0.0178342936,0.0181147890,0.0293590408,0.0306345317,0.0263700062,0.0191434386,0.0224950128,0.0564576712,0.0352776842,0.0176820436,0.0292362592,0.0269515496,0.0253765788,0.0234748956,0.0228311718,0.0552232250,0.0335352273,0.0184962776,0.0366173479,0.0311206280,0.0256223992,0.0150251277,0.0222921622,0.0218739362,0.0562733973,0.0184110895,0.0185391339,0.0373248147,0.0307508281,0.0342052538,0.0158220521,0.0226424524,0.0220502267,0.0196905376,0.0194082497,0.0359273667,0.0313315058,0.0262806071,0.0154731087,0.0212396196,0.0250599314,0.0188434071,0.0362964063,0.0186527394,0.0323620074,0.0261053390,0.0196219181,0.0188472912,0.0184247862,0.0179667998,0.0613107385,0.1496049962,0.0176087586,0.0352946898,0.0188216958,0.0135946943,0.0175300851,0.0190842906,0.0179118822,0.0176729840,0.0177613690,0.0516296333,0.1465288826,0.0345033807,0.0363900692,0.0183546626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WC05,0.0212050934,0.0207135126,0.0156416512,0.0308639438,0.0302119395,0.0276990053,0.0162531737,0.0241122200,0.0264781716,0.0221507392,0.0210292032,0.0168662129,0.0292584438,0.0302218980,0.0259151567,0.0217295762,0.0230814648,0.0250723097,0.0208008663,0.0205684280,0.0162762594,0.0290191762,0.0284982896,0.0269907025,0.0203243735,0.0220634503,0.0265235135,0.0369154333,0.0200217045,0.0161172768,0.0286726156,0.0299794523,0.0271157750,0.0206746308,0.0234832460,0.0550348839,0.0352185550,0.0166920067,0.0283864757,0.0269102766,0.0260160615,0.0240432947,0.0233962547,0.0540211819,0.0325210228,0.0199724332,0.0370067938,0.0296230848,0.0259064858,0.0174680102,0.0239901981,0.0231929837,0.0552103742,0.0201858629,0.0203999936,0.0368583835,0.0298395880,0.0350049307,0.0175684315,0.0232476385,0.0237049184,0.0218609311,0.0215161669,0.0358338671,0.0306081678,0.0271187661,0.0174325567,0.0224654526,0.0256586453,0.0204325392,0.0351017641,0.0201410299,0.0319940134,0.0268890405,0.0206987213,0.0198196997,0.0202949226,0.0195772004,0.0603543584,0.1459829093,0.0191413840,0.0339615457,0.0208323040,0.0181331378,0.0164686992,0.0210929923,0.0201702328,0.0204392376,0.0197925388,0.0514503393,0.1437193704,0.0340934486,0.0351028977,0.0200515977,0.0169631761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WC06,0.0171074791,0.0171157145,0.0209902904,0.0324455592,0.0313141301,0.0276457425,0.0193870982,0.0221951034,0.0263395579,0.0174234720,0.0156212517,0.0187609958,0.0308394068,0.0307447843,0.0247441491,0.0179979960,0.0233782337,0.0257173338,0.0153791907,0.0163382209,0.0217508227,0.0299843809,0.0295578313,0.0266373743,0.0176800123,0.0228450811,0.0257712418,0.0363695414,0.0165980701,0.0212731273,0.0294695867,0.0312768990,0.0265972010,0.0184552518,0.0233891333,0.0560059280,0.0352788478,0.0212819886,0.0302284573,0.0272351042,0.0257758332,0.0232642204,0.0238491163,0.0545350071,0.0338517335,0.0167542429,0.0371299030,0.0315929805,0.0262937274,0.0189587927,0.0235766620,0.0226304912,0.0561619200,0.0163696156,0.0166921325,0.0369675417,0.0311867331,0.0351343332,0.0191394246,0.0232525330,0.0220672267,0.0162866724,0.0178115881,0.0363461759,0.0313242813,0.0269790632,0.0190396482,0.0215745014,0.0254773334,0.0165058198,0.0361566882,0.0163997735,0.0316923105,0.0266186590,0.0159305806,0.0147995033,0.0167079651,0.0153309200,0.0614175893,0.1491529491,0.0158144148,0.0352173835,0.0171046752,0.0189081377,0.0206810679,0.0146908468,0.0149289893,0.0150595075,0.0156416735,0.0517234543,0.1470461529,0.0344952322,0.0360867990,0.0164494980,0.0185882804,0.0207452092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WC07,0.0182072269,0.0179513596,0.0218958603,0.0328037139,0.0322053602,0.0293649536,0.0198259699,0.0234373098,0.0278493252,0.0190607539,0.0170287352,0.0199964432,0.0318446945,0.0315993886,0.0268085728,0.0190858621,0.0238881022,0.0272786642,0.0171307298,0.0173804199,0.0233734863,0.0298189136,0.0294607812,0.0286138199,0.0183733221,0.0240480606,0.0271129854,0.0362481037,0.0172275367,0.0222850862,0.0307205287,0.0325838318,0.0282934808,0.0182334393,0.0238977300,0.0564408805,0.0363565581,0.0218858497,0.0311773998,0.0280108392,0.0269577614,0.0245101882,0.0253514531,0.0554024915,0.0346273419,0.0172625607,0.0380580919,0.0323267979,0.0271439717,0.0199030511,0.0244829927,0.0246201787,0.0563469643,0.0173785953,0.0172938119,0.0381447230,0.0320403662,0.0360411981,0.0194998040,0.0243300737,0.0240339089,0.0181479147,0.0178760949,0.0366618815,0.0323666014,0.0285902800,0.0201136212,0.0224789950,0.0269612881,0.0176983928,0.0362236774,0.0180471982,0.0327964311,0.0279235463,0.0164348464,0.0160041401,0.0163193183,0.0160071499,0.0621413396,0.1509687891,0.0161643364,0.0357123545,0.0175686498,0.0188271756,0.0214635283,0.0160843499,0.0157494878,0.0163411586,0.0155297253,0.0515431631,0.1477062744,0.0349045206,0.0369541896,0.0168649244,0.0192552434,0.0215435623,0.0154989004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WC09,0.0183998116,0.0178896547,0.0208801229,0.0322241922,0.0311367751,0.0279140453,0.0197770106,0.0227607958,0.0256466514,0.0190830047,0.0174120017,0.0196166411,0.0315813247,0.0313869919,0.0254416876,0.0194861377,0.0241835946,0.0256821749,0.0173618884,0.0175916314,0.0221677131,0.0300322213,0.0292645899,0.0268867581,0.0179014756,0.0236114761,0.0257011713,0.0354446189,0.0174332174,0.0214664157,0.0298249452,0.0312361694,0.0267504110,0.0195567381,0.0238681678,0.0552756265,0.0355589897,0.0208178752,0.0303304185,0.0281853935,0.0266464672,0.0244504376,0.0236081268,0.0542355606,0.0342157081,0.0172095154,0.0373019566,0.0322639649,0.0265804728,0.0184136527,0.0249332186,0.0240108467,0.0548924143,0.0167921783,0.0175047560,0.0372563103,0.0313169073,0.0361319929,0.0198515001,0.0236137978,0.0231647707,0.0185155517,0.0192454910,0.0367068783,0.0316825648,0.0272293274,0.0194617661,0.0221822815,0.0257583220,0.0174781145,0.0359257470,0.0179221228,0.0322353635,0.0266678613,0.0175927811,0.0164670090,0.0173539325,0.0166347391,0.0614346355,0.1492431644,0.0170607140,0.0352682458,0.0181944205,0.0183107543,0.0202759843,0.0176829907,0.0159519633,0.0170185716,0.0132058118,0.0516682911,0.1458678227,0.0342302450,0.0352951306,0.0166218129,0.0184420452,0.0204718501,0.0176708522,0.0175767603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WC10,0.0415610032,0.0415306240,0.0415855481,0.0414867332,0.0407837089,0.0408030153,0.0416564048,0.0406636857,0.0405022200,0.0420203583,0.0405485922,0.0411605022,0.0404093996,0.0413168618,0.0416634363,0.0414596232,0.0412726111,0.0409406021,0.0405815001,0.0411313366,0.0410223349,0.0404691830,0.0407092217,0.0410638315,0.0408735230,0.0413625965,0.0409605587,0.0405096597,0.0410259900,0.0410107515,0.0407967294,0.0410017126,0.0416200297,0.0414673285,0.0417479337,0.0360660362,0.0401809118,0.0409247050,0.0402327661,0.0403721658,0.0416460353,0.0408740159,0.0412301898,0.0361421481,0.0404182302,0.0410340248,0.0400645903,0.0410441525,0.0405419748,0.0415482109,0.0419074863,0.0413238973,0.0365076975,0.0411372470,0.0406623585,0.0401952315,0.0407945851,0.0403318798,0.0412130180,0.0405475813,0.0410984038,0.0411218941,0.0412714460,0.0399506044,0.0407327256,0.0406305677,0.0417507004,0.0405185191,0.0402942004,0.0412809509,0.0395129657,0.0409081753,0.0395165797,0.0416985198,0.0409904747,0.0407304401,0.0412853356,0.0412721790,0.0406772971,0.0954753411,0.0410707155,0.0397903117,0.0407350840,0.0410226457,0.0416009392,0.0407860824,0.0409581584,0.0411782987,0.0406803779,0.0101435842,0.0938638343,0.0399278248,0.0395280878,0.0412352726,0.0412313200,0.0414690534,0.0413779658,0.0412749273,0.0413267280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
